Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
517,3,2.6284,1988.7657,79.2343,EpsilonGreedy
518,3,3.6803,1992.4460,79.5540,EpsilonGreedy
519,3,4.5688,1997.0148,78.9852,EpsilonGreedy
520,3,4.1947,2001.2095,78.7905,EpsilonGreedy
521,3,3.0266,2004.2361,79.7639,EpsilonGreedy
522,3,3.7539,2007.9900,80.0100,EpsilonGreedy
523,3,3.9563,2011.9463,80.0537,EpsilonGreedy
524,3,2.0171,2013.9634,82.0366,EpsilonGreedy
525,3,4.8815,2018.8449,81.1551,EpsilonGreedy
526,3,3.2078,2022.0527,81.9473,EpsilonGreedy
527,3,2.6201,2024.6728,83.3272,EpsilonGreedy
528,3,6.4405,2031.1133,80.8867,EpsilonGreedy
529,3,2.8910,2034.0043,81.9957,EpsilonGreedy
530,3,3.5953,2037.5995,82.4005,EpsilonGreedy
531,3,3.1785,2040.7780,83.2220,EpsilonGreedy
532,3,4.8847,2045.6628,82.3372,EpsilonGreedy
533,3,3.6262,2049.2890,82.7110,EpsilonGreedy
534,3,2.4503,2051.7392,84.2608,EpsilonGreedy
535,3,1.7695,2053.5087,86.4913,EpsilonGreedy
536,3,3.3700,2056.8787,87.1213,EpsilonGreedy
537,3,5.8683,2062.7470,85.2530,EpsilonGreedy
538,3,2.8489,2065.5959,86.4041,EpsilonGreedy
539,3,5.1579,2070.7537,85.2463,EpsilonGreedy
540,3,3.0467,2073.8004,86.1996,EpsilonGreedy
541,3,2.3986,2076.1990,87.8010,EpsilonGreedy
542,3,1.5946,2077.7936,90.2064,EpsilonGreedy
543,3,3.7304,2081.5241,90.4759,EpsilonGreedy
544,3,4.1661,2085.6902,90.3098,EpsilonGreedy
545,3,3.7864,2089.4766,90.5234,EpsilonGreedy
546,3,1.8606,2091.3372,92.6628,EpsilonGreedy
547,3,3.2854,2094.6226,93.3774,EpsilonGreedy
548,3,4.2208,2098.8434,93.1566,EpsilonGreedy
549,3,3.3591,2102.2024,93.7976,EpsilonGreedy
550,3,4.3491,2106.5515,93.4485,EpsilonGreedy
551,3,6.0399,2112.5914,91.4086,EpsilonGreedy
552,3,2.5375,2115.1289,92.8711,EpsilonGreedy
553,3,6.5090,2121.6379,90.3621,EpsilonGreedy
554,3,2.8139,2124.4518,91.5482,EpsilonGreedy
555,3,3.7919,2128.2437,91.7563,EpsilonGreedy
556,3,3.7875,2132.0312,91.9688,EpsilonGreedy
557,3,4.7449,2136.7761,91.2239,EpsilonGreedy
558,3,3.5588,2140.3350,91.6650,EpsilonGreedy
559,3,3.9504,2144.2854,91.7146,EpsilonGreedy
560,3,3.8192,2148.1046,91.8954,EpsilonGreedy
561,3,4.3659,2152.4705,91.5295,EpsilonGreedy
562,3,4.3561,2156.8266,91.1734,EpsilonGreedy
563,3,3.8727,2160.6993,91.3007,EpsilonGreedy
564,3,4.7591,2165.4584,90.5416,EpsilonGreedy
565,3,5.3407,2170.7991,89.2009,EpsilonGreedy
566,3,3.2513,2174.0504,89.9496,EpsilonGreedy
567,3,3.3230,2177.3735,90.6265,EpsilonGreedy
568,3,3.2822,2180.6556,91.3444,EpsilonGreedy
569,3,3.2184,2183.8740,92.1260,EpsilonGreedy
570,3,3.2690,2187.1430,92.8570,EpsilonGreedy
571,3,3.9601,2191.1031,92.8969,EpsilonGreedy
572,3,4.6478,2195.7509,92.2491,EpsilonGreedy
573,3,3.2377,2198.9886,93.0114,EpsilonGreedy
574,3,4.3185,2203.3071,92.6929,EpsilonGreedy
575,3,3.4897,2206.7968,93.2032,EpsilonGreedy
576,3,6.4527,2213.2496,90.7504,EpsilonGreedy
577,3,4.1394,2217.3890,90.6110,EpsilonGreedy
578,3,4.6171,2222.0061,89.9939,EpsilonGreedy
579,3,2.9413,2224.9473,91.0527,EpsilonGreedy
580,3,3.0528,2228.0001,91.9999,EpsilonGreedy
581,3,4.0961,2232.0963,91.9037,EpsilonGreedy
582,3,3.1490,2235.2452,92.7548,EpsilonGreedy
583,3,3.8357,2239.0809,92.9191,EpsilonGreedy
584,3,5.0467,2244.1276,91.8724,EpsilonGreedy
585,3,3.1786,2247.3063,92.6937,EpsilonGreedy
586,3,3.0738,2250.3801,93.6199,EpsilonGreedy
587,3,4.0456,2254.4257,93.5743,EpsilonGreedy
588,3,3.6272,2258.0529,93.9471,EpsilonGreedy
589,3,4.5037,2262.5566,93.4434,EpsilonGreedy
590,3,3.7496,2266.3062,93.6938,EpsilonGreedy
591,3,2.8486,2269.1548,94.8452,EpsilonGreedy
592,3,1.8119,2270.9667,97.0333,EpsilonGreedy
593,3,4.2192,2275.1859,96.8141,EpsilonGreedy
594,3,3.1918,2278.3777,97.6223,EpsilonGreedy
595,3,3.9950,2282.3727,97.6273,EpsilonGreedy
596,3,2.1223,2284.4950,99.5050,EpsilonGreedy
597,3,3.1449,2287.6399,100.3601,EpsilonGreedy
598,3,4.2270,2291.8669,100.1331,EpsilonGreedy
599,3,4.8968,2296.7637,99.2363,EpsilonGreedy
600,3,4.9240,2301.6877,98.3123,EpsilonGreedy
601,3,5.1366,2306.8243,97.1757,EpsilonGreedy
602,3,3.8543,2310.6786,97.3214,EpsilonGreedy
603,3,4.8251,2315.5037,96.4963,EpsilonGreedy
604,3,4.2094,2319.7131,96.2869,EpsilonGreedy
605,3,3.6312,2323.3443,96.6557,EpsilonGreedy
606,3,3.4220,2326.7663,97.2337,EpsilonGreedy
607,3,3.1095,2329.8758,98.1242,EpsilonGreedy
608,3,4.8885,2334.7642,97.2358,EpsilonGreedy
609,3,3.9197,2338.6839,97.3161,EpsilonGreedy
610,3,3.1693,2341.8532,98.1468,EpsilonGreedy
611,3,3.7524,2345.6056,98.3944,EpsilonGreedy
612,3,5.7517,2351.3573,96.6427,EpsilonGreedy
613,3,2.5026,2353.8600,98.1400,EpsilonGreedy
614,3,2.5419,2356.4018,99.5982,EpsilonGreedy
615,3,5.3053,2361.7071,98.2929,EpsilonGreedy
616,3,2.4798,2364.1869,99.8131,EpsilonGreedy
617,3,5.2604,2369.4473,98.5527,EpsilonGreedy
618,3,3.3240,2372.7713,99.2287,EpsilonGreedy
619,3,4.2846,2377.0559,98.9441,EpsilonGreedy
620,3,5.1822,2382.2381,97.7619,EpsilonGreedy
621,3,5.1854,2387.4235,96.5765,EpsilonGreedy
622,3,4.6614,2392.0849,95.9151,EpsilonGreedy
623,3,3.8690,2395.9540,96.0460,EpsilonGreedy
624,3,3.6169,2399.5708,96.4292,EpsilonGreedy
625,3,3.6398,2403.2106,96.7894,EpsilonGreedy
626,3,5.4443,2408.6549,95.3451,EpsilonGreedy
627,3,4.2193,2412.8742,95.1258,EpsilonGreedy
628,3,5.0625,2417.9367,94.0633,EpsilonGreedy
629,3,1.5423,2419.4790,96.5210,EpsilonGreedy
630,3,3.5434,2423.0225,96.9775,EpsilonGreedy
631,3,4.1987,2427.2211,96.7789,EpsilonGreedy
632,3,3.5151,2430.7362,97.2638,EpsilonGreedy
633,3,6.0280,2436.7643,95.2357,EpsilonGreedy
634,3,2.7670,2439.5313,96.4687,EpsilonGreedy
635,3,4.4257,2443.9570,96.0430,EpsilonGreedy
636,3,4.7905,2448.7474,95.2526,EpsilonGreedy
