Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
18773,3,4.2192,74963.9746,128.0254,ThompsonSampling
18774,3,3.7540,74967.7287,128.2713,ThompsonSampling
18775,3,4.3063,74972.0349,127.9651,ThompsonSampling
18776,3,4.0483,74976.0833,127.9167,ThompsonSampling
18777,3,3.1330,74979.2162,128.7838,ThompsonSampling
18778,3,1.8290,74981.0452,130.9548,ThompsonSampling
18779,3,4.2166,74985.2618,130.7382,ThompsonSampling
18780,3,3.7196,74988.9814,131.0186,ThompsonSampling
18781,3,3.5308,74992.5122,131.4878,ThompsonSampling
18782,3,4.2916,74996.8038,131.1962,ThompsonSampling
18783,3,5.1074,75001.9112,130.0888,ThompsonSampling
18784,3,3.6136,75005.5248,130.4752,ThompsonSampling
18785,3,3.3279,75008.8528,131.1472,ThompsonSampling
18786,3,4.2455,75013.0982,130.9018,ThompsonSampling
18787,3,3.4030,75016.5013,131.4987,ThompsonSampling
18788,3,2.5677,75019.0690,132.9310,ThompsonSampling
18789,3,3.7294,75022.7984,133.2016,ThompsonSampling
18790,3,5.2593,75028.0577,131.9423,ThompsonSampling
18791,3,3.1932,75031.2509,132.7491,ThompsonSampling
18792,3,4.4745,75035.7254,132.2746,ThompsonSampling
18793,3,3.9589,75039.6843,132.3157,ThompsonSampling
18794,3,4.5377,75044.2221,131.7779,ThompsonSampling
18795,3,4.0933,75048.3153,131.6847,ThompsonSampling
18796,3,3.9166,75052.2320,131.7680,ThompsonSampling
18797,3,4.6000,75056.8320,131.1680,ThompsonSampling
18798,3,4.0291,75060.8611,131.1389,ThompsonSampling
18799,3,3.4331,75064.2942,131.7058,ThompsonSampling
18800,3,2.9838,75067.2780,132.7220,ThompsonSampling
18801,3,3.4806,75070.7586,133.2414,ThompsonSampling
18802,3,4.8118,75075.5704,132.4296,ThompsonSampling
18803,3,4.2410,75079.8114,132.1886,ThompsonSampling
18804,3,5.3869,75085.1984,130.8016,ThompsonSampling
18805,3,5.2162,75090.4146,129.5854,ThompsonSampling
18806,3,5.0603,75095.4749,128.5251,ThompsonSampling
18807,3,3.2668,75098.7417,129.2583,ThompsonSampling
18808,3,5.0710,75103.8127,128.1873,ThompsonSampling
18809,3,4.5965,75108.4093,127.5907,ThompsonSampling
18810,3,0.7675,75109.1768,130.8232,ThompsonSampling
18811,3,2.7306,75111.9074,132.0926,ThompsonSampling
18812,3,5.1477,75117.0551,130.9449,ThompsonSampling
18813,3,3.9428,75120.9980,131.0020,ThompsonSampling
18814,3,2.3214,75123.3193,132.6807,ThompsonSampling
18815,3,3.4459,75126.7652,133.2348,ThompsonSampling
18816,3,5.5979,75132.3631,131.6369,ThompsonSampling
18817,3,3.4301,75135.7932,132.2068,ThompsonSampling
18818,3,5.3372,75141.1305,130.8695,ThompsonSampling
18819,3,5.7203,75146.8508,129.1492,ThompsonSampling
18820,3,3.7155,75150.5663,129.4337,ThompsonSampling
18821,3,3.5896,75154.1559,129.8441,ThompsonSampling
18822,3,4.3183,75158.4742,129.5258,ThompsonSampling
18823,3,4.3270,75162.8012,129.1988,ThompsonSampling
18824,3,3.2827,75166.0839,129.9161,ThompsonSampling
18825,3,3.8452,75169.9291,130.0709,ThompsonSampling
18826,3,3.5660,75173.4951,130.5049,ThompsonSampling
18827,3,4.7717,75178.2668,129.7332,ThompsonSampling
18828,3,3.7764,75182.0432,129.9568,ThompsonSampling
18829,3,2.8916,75184.9349,131.0651,ThompsonSampling
18830,3,4.7865,75189.7214,130.2786,ThompsonSampling
18831,3,3.4502,75193.1716,130.8284,ThompsonSampling
18832,3,3.9887,75197.1603,130.8397,ThompsonSampling
18833,3,2.4780,75199.6383,132.3617,ThompsonSampling
18834,3,3.6222,75203.2605,132.7395,ThompsonSampling
18835,3,2.7224,75205.9830,134.0170,ThompsonSampling
18836,3,3.3201,75209.3031,134.6969,ThompsonSampling
18837,3,3.9513,75213.2544,134.7456,ThompsonSampling
18838,3,3.8851,75217.1395,134.8605,ThompsonSampling
18839,3,2.6303,75219.7698,136.2302,ThompsonSampling
